Date,Meat_Type,Group,pH
2025-06-18,Pork,Frozen-Thawed,6.53
2025-06-18,Pork,Frozen-Thawed,6.51
2025-06-18,Pork,Frozen-Thawed,6.53
2025-06-19,Beef,Fresh,6.23
2025-06-19,Beef,Fresh,6.26
2025-06-19,Beef,Fresh,6.25
2025-06-19,Beef,Frozen-Thawed,6.39
2025-06-19,Beef,Frozen-Thawed,6.44
2025-06-19,Beef,Frozen-Thawed,6.41
2025-06-19,Chicken,Fresh,6.71
2025-06-19,Chicken,Fresh,6.71
2025-06-19,Chicken,Fresh,6.73
2025-06-19,Chicken,Frozen-Thawed,6.89
2025-06-19,Chicken,Frozen-Thawed,6.85
2025-06-19,Chicken,Frozen-Thawed,6.86
2025-06-19,Pork,Fresh,6.41
2025-06-19,Pork,Fresh,6.45
2025-06-19,Pork,Fresh,6.43
2025-06-19,Pork,Frozen-Thawed,6.55
2025-06-19,Pork,Frozen-Thawed,6.6
2025-06-19,Pork,Frozen-Thawed,6.64
2025-06-20,Beef,Fresh,6.27
2025-06-20,Beef,Fresh,6.29
2025-06-20,Beef,Fresh,6.28
2025-06-20,Beef,Frozen-Thawed,6.48
2025-06-20,Beef,Frozen-Thawed,6.48
2025-06-20,Beef,Frozen-Thawed,6.45
2025-06-20,Chicken,Fresh,6.79
2025-06-20,Chicken,Fresh,6.76
2025-06-20,Chicken,Fresh,6.8
2025-06-20,Chicken,Frozen-Thawed,6.94
2025-06-20,Chicken,Frozen-Thawed,6.98
2025-06-20,Chicken,Frozen-Thawed,7.0
2025-06-20,Pork,Fresh,6.52
2025-06-20,Pork,Fresh,6.48
2025-06-20,Pork,Fresh,6.47
2025-06-20,Pork,Frozen-Thawed,6.67
2025-06-20,Pork,Frozen-Thawed,6.68
2025-06-20,Pork,Frozen-Thawed,6.67
2025-06-21,Beef,Fresh,6.35
2025-06-21,Beef,Fresh,6.36
2025-06-21,Beef,Fresh,6.38
2025-06-21,Beef,Frozen-Thawed,6.59
2025-06-21,Beef,Frozen-Thawed,6.52
2025-06-21,Beef,Frozen-Thawed,6.55
2025-06-21,Chicken,Fresh,6.83
2025-06-21,Chicken,Fresh,6.85
2025-06-21,Chicken,Fresh,6.86
2025-06-21,Chicken,Frozen-Thawed,7.07
2025-06-21,Chicken,Frozen-Thawed,7.08
2025-06-21,Chicken,Frozen-Thawed,7.07
2025-06-21,Pork,Fresh,6.54
2025-06-21,Pork,Fresh,6.55
2025-06-21,Pork,Fresh,6.52
2025-06-21,Pork,Frozen-Thawed,6.76
2025-06-21,Pork,Frozen-Thawed,6.78
2025-06-21,Pork,Frozen-Thawed,6.76
2025-06-22,Beef,Fresh,6.45
2025-06-22,Beef,Fresh,6.43
2025-06-22,Beef,Fresh,6.47
2025-06-22,Beef,Frozen-Thawed,6.64
2025-06-22,Beef,Frozen-Thawed,6.66
2025-06-22,Beef,Frozen-Thawed,6.61
2025-06-22,Chicken,Fresh,6.92
2025-06-22,Chicken,Fresh,6.94
2025-06-22,Chicken,Fresh,6.95
2025-06-22,Chicken,Frozen-Thawed,7.18
2025-06-22,Chicken,Frozen-Thawed,7.15
2025-06-22,Chicken,Frozen-Thawed,7.15
2025-06-22,Pork,Fresh,6.64
2025-06-22,Pork,Fresh,6.61
2025-06-22,Pork,Fresh,6.64
2025-06-22,Pork,Frozen-Thawed,6.84
2025-06-22,Pork,Frozen-Thawed,6.82
2025-06-22,Pork,Frozen-Thawed,6.84
2025-06-23,Beef,Fresh,6.51
2025-06-23,Beef,Fresh,6.49
2025-06-23,Beef,Fresh,6.54
2025-06-23,Beef,Frozen-Thawed,6.74
2025-06-23,Beef,Frozen-Thawed,6.71
2025-06-23,Beef,Frozen-Thawed,6.72
2025-06-23,Chicken,Fresh,7.05
2025-06-23,Chicken,Fresh,7.02
2025-06-23,Chicken,Fresh,7.02
2025-06-23,Chicken,Frozen-Thawed,7.25
2025-06-23,Chicken,Frozen-Thawed,7.26
2025-06-23,Chicken,Frozen-Thawed,7.25
2025-06-23,Pork,Fresh,6.65
2025-06-23,Pork,Fresh,6.7
2025-06-23,Pork,Fresh,6.71
2025-06-23,Pork,Frozen-Thawed,6.9
2025-06-23,Pork,Frozen-Thawed,6.9
2025-06-23,Pork,Frozen-Thawed,6.92
